조사년월일,측정소이름,측정지역,일일강수량
20210727,광진,광진구,0
20210727,구로,구로구,0
20210727,금천,금천구,0
20210727,노원,노원구,0
20210727,도봉,도봉구,0
20210727,동대문,동대문구,0
20210727,마포,마포구,0
20210727,서대문,서대문구,0
20210727,서초,서초구,1
20210727,성동,성동구,0
20210727,성북,성북구,0
20210727,송파,송파구,0
20210727,양천,양천구,0
20210727,영등포,영등포구,0
20210727,용산,용산구,0
20210727,은평,은평구,0
20210727,중구,중구,0
20210728,강남,강남구,0
20210728,강동,강동구,0
20210728,강북,강북구,0
20210728,강서,강서구,11.5
20210728,관악,관악구,0
20210728,광진,광진구,0
20210728,구로,구로구,2.5
20210728,금천,금천구,28.5
20210728,노원,노원구,0
20210728,도봉,도봉구,0
20210728,동대문,동대문구,0
20210728,마포,마포구,7
20210728,서대문,서대문구,1
20210728,서초,서초구,0
20210728,성동,성동구,0
20210728,성북,성북구,0
20210728,송파,송파구,0
20210728,양천,양천구,4.5
20210728,영등포,영등포구,0
20210728,용산,용산구,0
20210728,은평,은평구,1
20210728,중구,중구,0
20210729,강남,강남구,0
20210729,강동,강동구,0
20210729,강북,강북구,0
20210729,강서,강서구,0
20210729,관악,관악구,0
20210729,광진,광진구,4.5
20210729,구로,구로구,0
20210729,금천,금천구,0
20210729,노원,노원구,0
20210729,도봉,도봉구,0
20210729,동대문,동대문구,0
20210729,마포,마포구,0
20210729,서대문,서대문구,0
20210729,서초,서초구,0
20210729,성동,성동구,0
20210729,성북,성북구,0
20210729,송파,송파구,0
20210729,양천,양천구,0
20210729,영등포,영등포구,0
20210729,용산,용산구,0
20210729,은평,은평구,0
20210729,중구,중구,0
20210730,강남,강남구,0
20210730,강동,강동구,0
20210730,강북,강북구,0
20210730,강서,강서구,0
20210730,관악,관악구,0
20210730,광진,광진구,0
20210730,구로,구로구,0
20210730,금천,금천구,0
20210730,노원,노원구,0
20210730,도봉,도봉구,0
20210730,동대문,동대문구,0
20210730,마포,마포구,0
20210730,서대문,서대문구,0
20210730,서초,서초구,0
20210730,성동,성동구,0
20210730,성북,성북구,0
20210730,송파,송파구,0
20210730,양천,양천구,0
20210730,영등포,영등포구,0
20210730,용산,용산구,0
20210730,은평,은평구,0
20210730,중구,중구,0
20210731,강남,강남구,15.5
20210731,강동,강동구,17
20210731,강북,강북구,9
20210731,강서,강서구,0
20210731,관악,관악구,3.5
20210731,광진,광진구,18
20210731,구로,구로구,0
20210731,금천,금천구,2.5
20210731,노원,노원구,11
20210731,도봉,도봉구,2.5
20210731,동대문,동대문구,10.5
20210731,마포,마포구,0.5
20210731,서대문,서대문구,0.5
20210731,서초,서초구,24
20210731,성동,성동구,12.5
20210731,성북,성북구,2
20210731,송파,송파구,15.5
20210731,양천,양천구,3.5
20210731,영등포,영등포구,2.5
20210731,용산,용산구,4
20210731,은평,은평구,0
20210731,중구,중구,4.5
20210801,강남,강남구,9.5
20210801,강동,강동구,3.5
20210801,강북,강북구,12
20210801,관악,관악구,6.5
20210801,광진,광진구,8
20210801,구로,구로구,6
20210801,금천,금천구,6
20210801,노원,노원구,6
20210801,도봉,도봉구,17.5
20210801,동대문,동대문구,10
20210801,마포,마포구,12
20210801,서대문,서대문구,16.5
20210801,서초,서초구,17
20210801,성동,성동구,11.5
20210801,성북,성북구,13
20210801,송파,송파구,6.5
20210801,양천,양천구,8
20210801,영등포,영등포구,10
20210801,용산,용산구,8.5
20210801,은평,은평구,16.5
20210801,중구,중구,10
